,Names,Ratings,Prices,Reviews,Images,Links
0,"Apple iPhone 15 (Pink, 128 GB)","40,072 Ratings & 2,200 Reviews","₹70,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/c/k/-original-imagtc5fuzkvczr7.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-pink-128-gb/p/itm7579ed94ca647?pid=MOBGTAGPNMZA5PU5&lid=LSTMOBGTAGPNMZA5PU51YWTGZ&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_1&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGTAGPNMZA5PU5.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
1,"Apple iPhone 15 (Black, 128 GB)","40,072 Ratings & 2,200 Reviews","₹70,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/h/d/9/-original-imagtc2qzgnnuhxh.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-black-128-gb/p/itm6ac6485515ae4?pid=MOBGTAGPTB3VS24W&lid=LSTMOBGTAGPTB3VS24WVZNSC6&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_2&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGTAGPTB3VS24W.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
2,"Apple iPhone 15 (Blue, 128 GB)","40,072 Ratings & 2,200 Reviews","₹70,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/k/l/l/-original-imagtc5fz9spysyk.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-blue-128-gb/p/itmbf14ef54f645d?pid=MOBGTAGPAQNVFZZY&lid=LSTMOBGTAGPAQNVFZZY7RHDU7&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_3&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGTAGPAQNVFZZY.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
3,"Apple iPhone 14 Plus (Midnight, 128 GB)","71,795 Ratings & 4,068 Reviews","₹55,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/a/b/0/-original-imaghx9qnhzxegu2.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-midnight-128-gb/p/itm4199ea6bcd38b?pid=MOBGHWFH3JX6NWWY&lid=LSTMOBGHWFH3JX6NWWYRH38NG&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_4&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGHWFH3JX6NWWY.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
4,"Apple iPhone 15 (Green, 128 GB)","40,072 Ratings & 2,200 Reviews","₹70,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/j/z/3/-original-imagtc5fqyz8tu4c.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-green-128-gb/p/itm235cd318bde73?pid=MOBGTAGPYYWZRUJX&lid=LSTMOBGTAGPYYWZRUJXUGY7PM&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_5&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGTAGPYYWZRUJX.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
5,"Apple iPhone 14 Plus (Starlight, 128 GB)","71,795 Ratings & 4,068 Reviews","₹55,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/l/v/8/-original-imaghx9qudmydgc4.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-starlight-128-gb/p/itmc922ddc8af349?pid=MOBGHWFHVCB2YZYR&lid=LSTMOBGHWFHVCB2YZYRBDOEVN&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&spotlightTagId=BestsellerId_tyy%2F4io&srno=s_1_6&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGHWFHVCB2YZYR.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
6,"Apple iPhone 14 Plus (Blue, 128 GB)","71,795 Ratings & 4,068 Reviews","₹55,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/c/4/d/-original-imaghx9qygjjg8hz.jpeg?q=70,https://www.flipkart.com/apple-iphone-14-plus-blue-128-gb/p/itmac8385391b02b?pid=MOBGHWFHUYWGB5F2&lid=LSTMOBGHWFHUYWGB5F2XIJVA7&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_7&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGHWFHUYWGB5F2.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
7,"Apple iPhone 15 (Yellow, 128 GB)","40,072 Ratings & 2,200 Reviews","₹70,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/f/l/g/-original-imagtc5frtz9j7tb.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-yellow-128-gb/p/itm825e4ad0b80ca?pid=MOBGTAGPDTKHHHZU&lid=LSTMOBGTAGPDTKHHHZUTQZRMS&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_8&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGTAGPDTKHHHZU.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
8,"Apple iPhone 15 Plus (Blue, 128 GB)","6,757 Ratings & 583 Reviews","₹81,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/1/i/x/-original-imagtc6fhhtqjnr9.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-plus-blue-128-gb/p/itm4022c14383050?pid=MOBGTAGPE4F2HAW7&lid=LSTMOBGTAGPE4F2HAW7NDYSPY&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_9&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGTAGPE4F2HAW7.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
9,"Apple iPhone 15 Plus (Green, 128 GB)","6,757 Ratings & 583 Reviews","₹81,999",4.6,https://rukminim2.flixcart.com/image/312/312/xif0q/mobile/6/x/t/-original-imagtc6ffhgm3f2g.jpeg?q=70,https://www.flipkart.com/apple-iphone-15-plus-green-128-gb/p/itmaa50abb5e6c3b?pid=MOBGTAGPJVGHTAYC&lid=LSTMOBGTAGPJVGHTAYCTGIMN2&marketplace=FLIPKART&q=iphones&store=tyy%2F4io&srno=s_1_10&otracker=search&otracker1=search&fm=organic&iid=a6f3b7bb-f5de-48ea-b564-af5a9c61732b.MOBGTAGPJVGHTAYC.SEARCH&ppt=None&ppn=None&ssid=g3zx3073xs0000001720350241767&qH=3e7fa8c51e2e4986
